COURSE,SIZE,SIZE_CAT,GENDER
PHYS 117 101,305,1,1
STAT 406 101,94,1,1
BIOL 342 101,91,1,1
COGS 303 001,44,1,1
EOSC 425 101,21,0,1
STAT 302 101,122,1,1
MATH 221 102,126,1,1
PHYS 301 101,161,1,1
CPSC 221 103,105,1,1
BIOL 301 101,45,1,0
